MutantNo,[FAIL | TIME | EXC | LIVE | UNCOV]
1,FAIL
2,FAIL
3,FAIL
4,FAIL
5,FAIL
6,FAIL
7,FAIL
8,FAIL
9,LIVE
10,LIVE
11,EXC
12,LIVE
13,LIVE
14,LIVE
15,EXC
16,LIVE
17,LIVE
18,FAIL
19,EXC
20,FAIL
21,LIVE
22,LIVE
23,EXC
24,LIVE
25,LIVE
26,LIVE
27,EXC
28,LIVE
29,LIVE
30,LIVE
31,EXC
32,LIVE
33,LIVE
34,LIVE
35,EXC
36,LIVE
37,LIVE
38,LIVE
39,EXC
40,LIVE
41,LIVE
42,LIVE
43,EXC
44,LIVE
45,LIVE
46,LIVE
47,EXC
48,LIVE
49,LIVE
50,LIVE
51,LIVE
52,LIVE
53,LIVE
54,EXC
55,LIVE
56,FAIL
57,LIVE
58,TIME
59,LIVE
60,LIVE
61,TIME
62,FAIL
63,FAIL
64,FAIL
65,LIVE
66,FAIL
67,LIVE
68,FAIL
69,FAIL
70,FAIL
71,LIVE
72,EXC
73,LIVE
74,EXC
75,FAIL
76,FAIL
77,FAIL
78,FAIL
79,FAIL
80,FAIL
81,FAIL
82,FAIL
83,FAIL
84,FAIL
85,FAIL
86,LIVE
87,LIVE
88,FAIL
89,LIVE
90,LIVE
91,FAIL
92,FAIL
93,FAIL
94,FAIL
95,FAIL
96,LIVE
97,FAIL
98,FAIL
99,FAIL
100,FAIL
101,FAIL
102,FAIL
103,FAIL
104,FAIL
105,LIVE
106,FAIL
107,FAIL
108,FAIL
109,TIME
110,TIME
111,FAIL
112,FAIL
113,FAIL
114,TIME
115,TIME
116,TIME
117,TIME
118,FAIL
119,LIVE
120,TIME
121,FAIL
122,FAIL
123,FAIL
124,FAIL
125,FAIL
126,FAIL
127,LIVE
128,FAIL
129,FAIL
130,FAIL
131,FAIL
132,FAIL
133,TIME
134,TIME
135,TIME
136,FAIL
137,FAIL
138,TIME
139,FAIL
140,LIVE
141,LIVE
142,EXC
143,LIVE
144,EXC
145,EXC
146,FAIL
147,EXC
148,LIVE
149,LIVE
150,UNCOV
151,UNCOV
152,EXC
153,FAIL
154,LIVE
155,EXC
156,FAIL
157,LIVE
158,EXC
159,EXC
160,EXC
161,EXC
162,EXC
163,EXC
164,EXC
165,LIVE
166,LIVE
167,FAIL
168,LIVE
169,EXC
170,EXC
171,EXC
172,EXC
173,FAIL
174,EXC
175,EXC
176,EXC
177,EXC
178,EXC
